n_episode : 167, Total Frames : 8746, Average Score : 133.1, Episode Score : 110.0, Best Score : 860.0, n_buffer : 8746, eps : 91.7%
n_episode : 168, Total Frames : 8800, Average Score : 132.9, Episode Score : 100.0, Best Score : 860.0, n_buffer : 8800, eps : 91.7%
n_episode : 169, Total Frames : 8860, Average Score : 133.0, Episode Score : 140.0, Best Score : 860.0, n_buffer : 8860, eps : 91.7%
n_episode : 170, Total Frames : 8941, Average Score : 133.3, Episode Score : 190.0, Best Score : 860.0, n_buffer : 8941, eps : 91.6%
n_episode : 171, Total Frames : 8987, Average Score : 132.8, Episode Score : 50.0, Best Score : 860.0, n_buffer : 8987, eps : 91.5%
n_episode : 172, Total Frames : 9039, Average Score : 132.6, Episode Score : 100.0, Best Score : 860.0, n_buffer : 9039, eps : 91.5%
n_episode : 173, Total Frames : 9099, Average Score : 132.4, Episode Score : 100.0, Best Score : 860.0, n_buffer : 9099, eps : 91.4%
n_episode : 174, Total Frames : 9150, Average Score : 132.2, Episode Score : 90.0, Best Score : 860.0, n_buffer : 9150, eps : 91.4%
n_episode : 175, Total Frames : 9219, Average Score : 132.7, Episode Score : 220.0, Best Score : 860.0, n_buffer : 9219, eps : 91.3%
n_episode : 176, Total Frames : 9248, Average Score : 132.4, Episode Score : 80.0, Best Score : 860.0, n_buffer : 9248, eps : 91.3%
n_episode : 177, Total Frames : 9263, Average Score : 131.8, Episode Score : 30.0, Best Score : 860.0, n_buffer : 9263, eps : 91.3%
n_episode : 178, Total Frames : 9332, Average Score : 132.2, Episode Score : 200.0, Best Score : 860.0, n_buffer : 9332, eps : 91.2%
n_episode : 179, Total Frames : 9351, Average Score : 131.5, Episode Score : 10.0, Best Score : 860.0, n_buffer : 9351, eps : 91.2%
n_episode : 180, Total Frames : 9372, Average Score : 131.0, Episode Score : 40.0, Best Score : 860.0, n_buffer : 9372, eps : 91.2%
n_episode : 181, Total Frames : 9437, Average Score : 131.1, Episode Score : 150.0, Best Score : 860.0, n_buffer : 9437, eps : 91.1%
n_episode : 182, Total Frames : 9457, Average Score : 130.5, Episode Score : 20.0, Best Score : 860.0, n_buffer : 9457, eps : 91.1%
n_episode : 183, Total Frames : 9474, Average Score : 129.8, Episode Score : 0.0, Best Score : 860.0, n_buffer : 9474, eps : 91.1%
n_episode : 184, Total Frames : 9547, Average Score : 130.4, Episode Score : 250.0, Best Score : 860.0, n_buffer : 9547, eps : 91.1%
n_episode : 185, Total Frames : 9573, Average Score : 130.1, Episode Score : 60.0, Best Score : 860.0, n_buffer : 9573, eps : 91.0%
n_episode : 186, Total Frames : 9612, Average Score : 129.7, Episode Score : 70.0, Best Score : 860.0, n_buffer : 9612, eps : 91.0%
n_episode : 187, Total Frames : 9681, Average Score : 130.0, Episode Score : 180.0, Best Score : 860.0, n_buffer : 9681, eps : 90.9%
n_episode : 188, Total Frames : 9706, Average Score : 129.4, Episode Score : 10.0, Best Score : 860.0, n_buffer : 9706, eps : 90.9%
n_episode : 189, Total Frames : 9753, Average Score : 129.1, Episode Score : 80.0, Best Score : 860.0, n_buffer : 9753, eps : 90.8%
n_episode : 190, Total Frames : 9826, Average Score : 129.6, Episode Score : 230.0, Best Score : 860.0, n_buffer : 9826, eps : 90.8%
n_episode : 191, Total Frames : 9871, Average Score : 129.5, Episode Score : 100.0, Best Score : 860.0, n_buffer : 9871, eps : 90.7%
n_episode : 192, Total Frames : 9932, Average Score : 129.3, Episode Score : 90.0, Best Score : 860.0, n_buffer : 9932, eps : 90.7%
n_episode : 193, Total Frames : 9993, Average Score : 129.4, Episode Score : 150.0, Best Score : 860.0, n_buffer : 9993, eps : 90.6%
n_episode : 194, Total Frames : 10054, Average Score : 129.5, Episode Score : 150.0, Best Score : 860.0, n_buffer : 10054, eps : 90.6%
n_episode : 195, Total Frames : 10096, Average Score : 129.4, Episode Score : 110.0, Best Score : 860.0, n_buffer : 10096, eps : 90.5%
n_episode : 196, Total Frames : 10137, Average Score : 129.4, Episode Score : 130.0, Best Score : 860.0, n_buffer : 10137, eps : 90.5%
n_episode : 197, Total Frames : 10206, Average Score : 129.7, Episode Score : 200.0, Best Score : 860.0, n_buffer : 10206, eps : 90.5%
n_episode : 198, Total Frames : 10265, Average Score : 129.9, Episode Score : 170.0, Best Score : 860.0, n_buffer : 10265, eps : 90.4%
n_episode : 199, Total Frames : 10336, Average Score : 130.6, Episode Score : 250.0, Best Score : 860.0, n_buffer : 10336, eps : 90.3%
n_episode : 200, Total Frames : 10376, Average Score : 130.3, Episode Score : 80.0, Best Score : 860.0, n_buffer : 10376, eps : 90.3%
