n_episode : 129, Total Frames : 6819, Average Score : 136.0, Episode Score : 20.0, Best Score : 940.0, n_buffer : 6819, eps : 93.5%
n_episode : 130, Total Frames : 6881, Average Score : 136.1, Episode Score : 150.0, Best Score : 940.0, n_buffer : 6881, eps : 93.5%
n_episode : 131, Total Frames : 6919, Average Score : 135.8, Episode Score : 100.0, Best Score : 940.0, n_buffer : 6919, eps : 93.4%
n_episode : 132, Total Frames : 6957, Average Score : 135.2, Episode Score : 60.0, Best Score : 940.0, n_buffer : 6957, eps : 93.4%
n_episode : 133, Total Frames : 7035, Average Score : 136.0, Episode Score : 240.0, Best Score : 940.0, n_buffer : 7035, eps : 93.3%
n_episode : 134, Total Frames : 7073, Average Score : 135.2, Episode Score : 30.0, Best Score : 940.0, n_buffer : 7073, eps : 93.3%
n_episode : 135, Total Frames : 7129, Average Score : 134.4, Episode Score : 30.0, Best Score : 940.0, n_buffer : 7129, eps : 93.2%
n_episode : 136, Total Frames : 7199, Average Score : 134.7, Episode Score : 170.0, Best Score : 940.0, n_buffer : 7199, eps : 93.2%
n_episode : 137, Total Frames : 7242, Average Score : 134.2, Episode Score : 70.0, Best Score : 940.0, n_buffer : 7242, eps : 93.1%
n_episode : 138, Total Frames : 7304, Average Score : 133.9, Episode Score : 90.0, Best Score : 940.0, n_buffer : 7304, eps : 93.1%
n_episode : 139, Total Frames : 7356, Average Score : 133.8, Episode Score : 120.0, Best Score : 940.0, n_buffer : 7356, eps : 93.0%
n_episode : 140, Total Frames : 7477, Average Score : 135.7, Episode Score : 400.0, Best Score : 940.0, n_buffer : 7477, eps : 93.0%
n_episode : 141, Total Frames : 7510, Average Score : 134.9, Episode Score : 20.0, Best Score : 940.0, n_buffer : 7510, eps : 92.9%
n_episode : 142, Total Frames : 7583, Average Score : 135.2, Episode Score : 180.0, Best Score : 940.0, n_buffer : 7583, eps : 92.8%
n_episode : 143, Total Frames : 7660, Average Score : 135.5, Episode Score : 170.0, Best Score : 940.0, n_buffer : 7660, eps : 92.8%
n_episode : 144, Total Frames : 7724, Average Score : 136.0, Episode Score : 210.0, Best Score : 940.0, n_buffer : 7724, eps : 92.7%
n_episode : 145, Total Frames : 7773, Average Score : 135.7, Episode Score : 90.0, Best Score : 940.0, n_buffer : 7773, eps : 92.6%
n_episode : 146, Total Frames : 7808, Average Score : 135.3, Episode Score : 90.0, Best Score : 940.0, n_buffer : 7808, eps : 92.6%
n_episode : 147, Total Frames : 7872, Average Score : 135.6, Episode Score : 180.0, Best Score : 940.0, n_buffer : 7872, eps : 92.6%
n_episode : 148, Total Frames : 7930, Average Score : 135.8, Episode Score : 160.0, Best Score : 940.0, n_buffer : 7930, eps : 92.5%
n_episode : 149, Total Frames : 7949, Average Score : 135.1, Episode Score : 30.0, Best Score : 940.0, n_buffer : 7949, eps : 92.5%
n_episode : 150, Total Frames : 8013, Average Score : 135.3, Episode Score : 170.0, Best Score : 940.0, n_buffer : 8013, eps : 92.4%
n_episode : 151, Total Frames : 8071, Average Score : 135.2, Episode Score : 120.0, Best Score : 940.0, n_buffer : 8071, eps : 92.4%
n_episode : 152, Total Frames : 8122, Average Score : 135.3, Episode Score : 140.0, Best Score : 940.0, n_buffer : 8122, eps : 92.3%
n_episode : 153, Total Frames : 8158, Average Score : 134.5, Episode Score : 20.0, Best Score : 940.0, n_buffer : 8158, eps : 92.3%
n_episode : 154, Total Frames : 8202, Average Score : 134.1, Episode Score : 70.0, Best Score : 940.0, n_buffer : 8202, eps : 92.2%
n_episode : 155, Total Frames : 8256, Average Score : 133.8, Episode Score : 90.0, Best Score : 940.0, n_buffer : 8256, eps : 92.2%
n_episode : 156, Total Frames : 8311, Average Score : 133.7, Episode Score : 110.0, Best Score : 940.0, n_buffer : 8311, eps : 92.2%
n_episode : 157, Total Frames : 8379, Average Score : 133.9, Episode Score : 180.0, Best Score : 940.0, n_buffer : 8379, eps : 92.1%
n_episode : 158, Total Frames : 8441, Average Score : 134.0, Episode Score : 140.0, Best Score : 940.0, n_buffer : 8441, eps : 92.0%
