n_episode : 176, Total Frames : 8628, Average Score : 37.8, Episode Score : 30.0, Best Score : 390.0, n_buffer : 8628, eps : 91.8%
n_episode : 177, Total Frames : 8663, Average Score : 37.8, Episode Score : 25.0, Best Score : 390.0, n_buffer : 8663, eps : 91.8%
n_episode : 178, Total Frames : 8764, Average Score : 39.0, Episode Score : 260.0, Best Score : 390.0, n_buffer : 8764, eps : 91.8%
n_episode : 179, Total Frames : 8810, Average Score : 39.3, Episode Score : 90.0, Best Score : 390.0, n_buffer : 8810, eps : 91.7%
n_episode : 180, Total Frames : 8827, Average Score : 39.1, Episode Score : 0.0, Best Score : 390.0, n_buffer : 8827, eps : 91.7%
n_episode : 181, Total Frames : 8890, Average Score : 39.1, Episode Score : 40.0, Best Score : 390.0, n_buffer : 8890, eps : 91.6%
n_episode : 182, Total Frames : 9002, Average Score : 39.4, Episode Score : 95.0, Best Score : 390.0, n_buffer : 9002, eps : 91.6%
n_episode : 183, Total Frames : 9094, Average Score : 39.4, Episode Score : 40.0, Best Score : 390.0, n_buffer : 9094, eps : 91.5%
n_episode : 184, Total Frames : 9128, Average Score : 39.3, Episode Score : 15.0, Best Score : 390.0, n_buffer : 9128, eps : 91.4%
n_episode : 185, Total Frames : 9151, Average Score : 39.1, Episode Score : 10.0, Best Score : 390.0, n_buffer : 9151, eps : 91.4%
n_episode : 186, Total Frames : 9202, Average Score : 39.4, Episode Score : 90.0, Best Score : 390.0, n_buffer : 9202, eps : 91.3%
n_episode : 187, Total Frames : 9225, Average Score : 39.2, Episode Score : 5.0, Best Score : 390.0, n_buffer : 9225, eps : 91.3%
n_episode : 188, Total Frames : 9247, Average Score : 39.0, Episode Score : 0.0, Best Score : 390.0, n_buffer : 9247, eps : 91.3%
n_episode : 189, Total Frames : 9291, Average Score : 39.1, Episode Score : 60.0, Best Score : 390.0, n_buffer : 9291, eps : 91.3%
n_episode : 190, Total Frames : 9326, Average Score : 38.9, Episode Score : 5.0, Best Score : 390.0, n_buffer : 9326, eps : 91.2%
n_episode : 191, Total Frames : 9388, Average Score : 39.3, Episode Score : 105.0, Best Score : 390.0, n_buffer : 9388, eps : 91.2%
n_episode : 192, Total Frames : 9427, Average Score : 39.2, Episode Score : 30.0, Best Score : 390.0, n_buffer : 9427, eps : 91.1%
