n_episode : 95, Total Frames : 4281, Average Score : 38.2, Episode Score : 30.0, Best Score : 340.0, n_buffer : 4281, eps : 95.9%
n_episode : 96, Total Frames : 4296, Average Score : 37.8, Episode Score : 0.0, Best Score : 340.0, n_buffer : 4296, eps : 95.9%
n_episode : 97, Total Frames : 4350, Average Score : 38.0, Episode Score : 60.0, Best Score : 340.0, n_buffer : 4350, eps : 95.8%
n_episode : 98, Total Frames : 4414, Average Score : 38.1, Episode Score : 45.0, Best Score : 340.0, n_buffer : 4414, eps : 95.8%
n_episode : 99, Total Frames : 4428, Average Score : 37.7, Episode Score : 0.0, Best Score : 340.0, n_buffer : 4428, eps : 95.7%
n_episode : 100, Total Frames : 4490, Average Score : 37.6, Episode Score : 25.0, Best Score : 340.0, n_buffer : 4490, eps : 95.7%
n_episode : 101, Total Frames : 4536, Average Score : 37.2, Episode Score : 0.0, Best Score : 340.0, n_buffer : 4536, eps : 95.7%
n_episode : 102, Total Frames : 4567, Average Score : 37.2, Episode Score : 35.0, Best Score : 340.0, n_buffer : 4567, eps : 95.6%
n_episode : 103, Total Frames : 4610, Average Score : 37.0, Episode Score : 20.0, Best Score : 340.0, n_buffer : 4610, eps : 95.6%
n_episode : 104, Total Frames : 4629, Average Score : 36.7, Episode Score : 5.0, Best Score : 340.0, n_buffer : 4629, eps : 95.5%
n_episode : 105, Total Frames : 4708, Average Score : 36.6, Episode Score : 25.0, Best Score : 340.0, n_buffer : 4708, eps : 95.5%
n_episode : 106, Total Frames : 4741, Average Score : 36.3, Episode Score : 0.0, Best Score : 340.0, n_buffer : 4741, eps : 95.4%
n_episode : 107, Total Frames : 4771, Average Score : 36.2, Episode Score : 30.0, Best Score : 340.0, n_buffer : 4771, eps : 95.4%
n_episode : 108, Total Frames : 4872, Average Score : 36.6, Episode Score : 75.0, Best Score : 340.0, n_buffer : 4872, eps : 95.4%
n_episode : 109, Total Frames : 4910, Average Score : 36.5, Episode Score : 25.0, Best Score : 340.0, n_buffer : 4910, eps : 95.3%
n_episode : 110, Total Frames : 4968, Average Score : 36.4, Episode Score : 30.0, Best Score : 340.0, n_buffer : 4968, eps : 95.3%
n_episode : 111, Total Frames : 5104, Average Score : 37.8, Episode Score : 190.0, Best Score : 340.0, n_buffer : 5104, eps : 95.2%
n_episode : 112, Total Frames : 5195, Average Score : 38.1, Episode Score : 75.0, Best Score : 340.0, n_buffer : 5195, eps : 95.1%
n_episode : 113, Total Frames : 5226, Average Score : 38.2, Episode Score : 50.0, Best Score : 340.0, n_buffer : 5226, eps : 95.0%
n_episode : 114, Total Frames : 5257, Average Score : 38.6, Episode Score : 75.0, Best Score : 340.0, n_buffer : 5257, eps : 95.0%
n_episode : 115, Total Frames : 5477, Average Score : 41.7, Episode Score : 395.0, Best Score : 395.0, n_buffer : 5477, eps : 94.9%
n_episode : 116, Total Frames : 5527, Average Score : 41.4, Episode Score : 15.0, Best Score : 395.0, n_buffer : 5527, eps : 94.7%
n_episode : 117, Total Frames : 5543, Average Score : 41.2, Episode Score : 15.0, Best Score : 395.0, n_buffer : 5543, eps : 94.7%
n_episode : 118, Total Frames : 5621, Average Score : 41.4, Episode Score : 60.0, Best Score : 395.0, n_buffer : 5621, eps : 94.7%
n_episode : 119, Total Frames : 5657, Average Score : 41.2, Episode Score : 25.0, Best Score : 395.0, n_buffer : 5657, eps : 94.6%
n_episode : 120, Total Frames : 5692, Average Score : 41.1, Episode Score : 30.0, Best Score : 395.0, n_buffer : 5692, eps : 94.6%
n_episode : 121, Total Frames : 5715, Average Score : 41.0, Episode Score : 20.0, Best Score : 395.0, n_buffer : 5715, eps : 94.5%
n_episode : 122, Total Frames : 5765, Average Score : 40.9, Episode Score : 30.0, Best Score : 395.0, n_buffer : 5765, eps : 94.5%
n_episode : 123, Total Frames : 5820, Average Score : 40.8, Episode Score : 35.0, Best Score : 395.0, n_buffer : 5820, eps : 94.5%
n_episode : 124, Total Frames : 5862, Average Score : 40.9, Episode Score : 55.0, Best Score : 395.0, n_buffer : 5862, eps : 94.4%
n_episode : 125, Total Frames : 5938, Average Score : 41.3, Episode Score : 85.0, Best Score : 395.0, n_buffer : 5938, eps : 94.4%
n_episode : 126, Total Frames : 6021, Average Score : 41.9, Episode Score : 125.0, Best Score : 395.0, n_buffer : 6021, eps : 94.3%
n_episode : 127, Total Frames : 6097, Average Score : 41.8, Episode Score : 20.0, Best Score : 395.0, n_buffer : 6097, eps : 94.2%
n_episode : 128, Total Frames : 6244, Average Score : 44.4, Episode Score : 375.0, Best Score : 395.0, n_buffer : 6244, eps : 94.1%
n_episode : 129, Total Frames : 6337, Average Score : 45.7, Episode Score : 210.0, Best Score : 395.0, n_buffer : 6337, eps : 94.0%
n_episode : 130, Total Frames : 6394, Average Score : 45.4, Episode Score : 10.0, Best Score : 395.0, n_buffer : 6394, eps : 93.9%
n_episode : 131, Total Frames : 6415, Average Score : 45.0, Episode Score : 0.0, Best Score : 395.0, n_buffer : 6415, eps : 93.9%
n_episode : 132, Total Frames : 6452, Average Score : 44.7, Episode Score : 0.0, Best Score : 395.0, n_buffer : 6452, eps : 93.8%
n_episode : 133, Total Frames : 6499, Average Score : 44.6, Episode Score : 35.0, Best Score : 395.0, n_buffer : 6499, eps : 93.8%
n_episode : 134, Total Frames : 6520, Average Score : 44.5, Episode Score : 25.0, Best Score : 395.0, n_buffer : 6520, eps : 93.8%
n_episode : 135, Total Frames : 6540, Average Score : 44.3, Episode Score : 20.0, Best Score : 395.0, n_buffer : 6540, eps : 93.8%
n_episode : 136, Total Frames : 6566, Average Score : 44.0, Episode Score : 0.0, Best Score : 395.0, n_buffer : 6566, eps : 93.7%
n_episode : 137, Total Frames : 6598, Average Score : 43.7, Episode Score : 5.0, Best Score : 395.0, n_buffer : 6598, eps : 93.7%
n_episode : 138, Total Frames : 6627, Average Score : 43.4, Episode Score : 5.0, Best Score : 395.0, n_buffer : 6627, eps : 93.7%
n_episode : 139, Total Frames : 6667, Average Score : 43.2, Episode Score : 10.0, Best Score : 395.0, n_buffer : 6667, eps : 93.7%
n_episode : 140, Total Frames : 6779, Average Score : 43.4, Episode Score : 70.0, Best Score : 395.0, n_buffer : 6779, eps : 93.6%
n_episode : 141, Total Frames : 6826, Average Score : 43.1, Episode Score : 10.0, Best Score : 395.0, n_buffer : 6826, eps : 93.5%
n_episode : 142, Total Frames : 6880, Average Score : 43.1, Episode Score : 45.0, Best Score : 395.0, n_buffer : 6880, eps : 93.5%
n_episode : 143, Total Frames : 6925, Average Score : 42.8, Episode Score : 0.0, Best Score : 395.0, n_buffer : 6925, eps : 93.4%
n_episode : 144, Total Frames : 6947, Average Score : 42.5, Episode Score : 0.0, Best Score : 395.0, n_buffer : 6947, eps : 93.4%
n_episode : 145, Total Frames : 6972, Average Score : 42.4, Episode Score : 20.0, Best Score : 395.0, n_buffer : 6972, eps : 93.4%
n_episode : 146, Total Frames : 7065, Average Score : 42.6, Episode Score : 80.0, Best Score : 395.0, n_buffer : 7065, eps : 93.3%
n_episode : 147, Total Frames : 7081, Average Score : 42.4, Episode Score : 15.0, Best Score : 395.0, n_buffer : 7081, eps : 93.2%
n_episode : 148, Total Frames : 7109, Average Score : 42.2, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7109, eps : 93.2%
n_episode : 149, Total Frames : 7131, Average Score : 42.1, Episode Score : 40.0, Best Score : 395.0, n_buffer : 7131, eps : 93.2%
n_episode : 150, Total Frames : 7145, Average Score : 41.9, Episode Score : 10.0, Best Score : 395.0, n_buffer : 7145, eps : 93.2%
n_episode : 151, Total Frames : 7192, Average Score : 41.9, Episode Score : 35.0, Best Score : 395.0, n_buffer : 7192, eps : 93.2%
n_episode : 152, Total Frames : 7212, Average Score : 41.8, Episode Score : 25.0, Best Score : 395.0, n_buffer : 7212, eps : 93.1%
n_episode : 153, Total Frames : 7230, Average Score : 41.5, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7230, eps : 93.1%
n_episode : 154, Total Frames : 7259, Average Score : 41.2, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7259, eps : 93.1%
n_episode : 155, Total Frames : 7336, Average Score : 41.6, Episode Score : 105.0, Best Score : 395.0, n_buffer : 7336, eps : 93.1%
n_episode : 156, Total Frames : 7384, Average Score : 41.4, Episode Score : 5.0, Best Score : 395.0, n_buffer : 7384, eps : 93.0%
n_episode : 157, Total Frames : 7446, Average Score : 41.7, Episode Score : 90.0, Best Score : 395.0, n_buffer : 7446, eps : 93.0%
