n_episode : 108, Total Frames : 107421, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 100000, eps : 35.4%
n_episode : 109, Total Frames : 108646, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 34.8%
n_episode : 110, Total Frames : 109694, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 34.4%
n_episode : 111, Total Frames : 111267, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 100000, eps : 34.1%
n_episode : 112, Total Frames : 112470, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 33.5%
n_episode : 113, Total Frames : 113710, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 33.2%
n_episode : 114, Total Frames : 115128, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 32.8%
n_episode : 115, Total Frames : 116284, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 32.3%
n_episode : 116, Total Frames : 117790, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 100000, eps : 31.9%
n_episode : 117, Total Frames : 119190, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 31.5%
n_episode : 118, Total Frames : 120573, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 100000, eps : 31.1%
n_episode : 119, Total Frames : 122048, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 30.6%
n_episode : 120, Total Frames : 122979, Average Score : -20.3, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 30.2%
n_episode : 121, Total Frames : 124412, Average Score : -20.3, Episode Score : -19.0, Best Score : -18.0, n_buffer : 100000, eps : 29.9%
n_episode : 122, Total Frames : 125901, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 29.5%
n_episode : 123, Total Frames : 127272, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 29.1%
n_episode : 124, Total Frames : 128699, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 28.7%
n_episode : 125, Total Frames : 129956, Average Score : -20.3, Episode Score : -17.0, Best Score : -17.0, n_buffer : 100000, eps : 28.3%
n_episode : 126, Total Frames : 131444, Average Score : -20.3, Episode Score : -20.0, Best Score : -17.0, n_buffer : 100000, eps : 28.0%
n_episode : 127, Total Frames : 132837, Average Score : -20.2, Episode Score : -19.0, Best Score : -17.0, n_buffer : 100000, eps : 27.6%
n_episode : 128, Total Frames : 134523, Average Score : -20.2, Episode Score : -16.0, Best Score : -16.0, n_buffer : 100000, eps : 27.2%
n_episode : 129, Total Frames : 136384, Average Score : -20.2, Episode Score : -17.0, Best Score : -16.0, n_buffer : 100000, eps : 26.8%
n_episode : 130, Total Frames : 138166, Average Score : -20.2, Episode Score : -18.0, Best Score : -16.0, n_buffer : 100000, eps : 26.3%
n_episode : 131, Total Frames : 139985, Average Score : -20.2, Episode Score : -18.0, Best Score : -16.0, n_buffer : 100000, eps : 25.9%
n_episode : 132, Total Frames : 141866, Average Score : -20.1, Episode Score : -18.0, Best Score : -16.0, n_buffer : 100000, eps : 25.4%
n_episode : 133, Total Frames : 143568, Average Score : -20.1, Episode Score : -18.0, Best Score : -16.0, n_buffer : 100000, eps : 25.0%
n_episode : 134, Total Frames : 145291, Average Score : -20.1, Episode Score : -16.0, Best Score : -16.0, n_buffer : 100000, eps : 24.6%
n_episode : 135, Total Frames : 147464, Average Score : -20.0, Episode Score : -14.0, Best Score : -14.0, n_buffer : 100000, eps : 24.2%
n_episode : 136, Total Frames : 149643, Average Score : -20.0, Episode Score : -16.0, Best Score : -14.0, n_buffer : 100000, eps : 23.7%
n_episode : 137, Total Frames : 151725, Average Score : -20.0, Episode Score : -16.0, Best Score : -14.0, n_buffer : 100000, eps : 23.2%
n_episode : 138, Total Frames : 153952, Average Score : -20.0, Episode Score : -20.0, Best Score : -14.0, n_buffer : 100000, eps : 22.7%
n_episode : 139, Total Frames : 156514, Average Score : -19.9, Episode Score : -14.0, Best Score : -14.0, n_buffer : 100000, eps : 22.2%
n_episode : 140, Total Frames : 158863, Average Score : -19.9, Episode Score : -15.0, Best Score : -14.0, n_buffer : 100000, eps : 21.7%
n_episode : 141, Total Frames : 161658, Average Score : -19.9, Episode Score : -12.0, Best Score : -12.0, n_buffer : 100000, eps : 21.2%
n_episode : 142, Total Frames : 163977, Average Score : -19.8, Episode Score : -15.0, Best Score : -12.0, n_buffer : 100000, eps : 20.7%
n_episode : 143, Total Frames : 167027, Average Score : -19.7, Episode Score : -10.0, Best Score : -10.0, n_buffer : 100000, eps : 20.2%
n_episode : 144, Total Frames : 170027, Average Score : -19.7, Episode Score : -14.0, Best Score : -10.0, n_buffer : 100000, eps : 19.6%
n_episode : 145, Total Frames : 173032, Average Score : -19.6, Episode Score : -10.0, Best Score : -10.0, n_buffer : 100000, eps : 19.1%
n_episode : 146, Total Frames : 176469, Average Score : -19.6, Episode Score : -9.0, Best Score : -9.0, n_buffer : 100000, eps : 18.5%
n_episode : 147, Total Frames : 179691, Average Score : -19.5, Episode Score : -12.0, Best Score : -9.0, n_buffer : 100000, eps : 18.0%
n_episode : 148, Total Frames : 182067, Average Score : -19.5, Episode Score : -16.0, Best Score : -9.0, n_buffer : 100000, eps : 17.4%
n_episode : 149, Total Frames : 185265, Average Score : -19.4, Episode Score : -13.0, Best Score : -9.0, n_buffer : 100000, eps : 17.0%
n_episode : 150, Total Frames : 187805, Average Score : -19.4, Episode Score : -15.0, Best Score : -9.0, n_buffer : 100000, eps : 16.5%
n_episode : 151, Total Frames : 190030, Average Score : -19.4, Episode Score : -19.0, Best Score : -9.0, n_buffer : 100000, eps : 16.1%
n_episode : 152, Total Frames : 192921, Average Score : -19.4, Episode Score : -16.0, Best Score : -9.0, n_buffer : 100000, eps : 15.8%
n_episode : 153, Total Frames : 196184, Average Score : -19.3, Episode Score : -12.0, Best Score : -9.0, n_buffer : 100000, eps : 15.4%
n_episode : 154, Total Frames : 199885, Average Score : -19.3, Episode Score : -14.0, Best Score : -9.0, n_buffer : 100000, eps : 14.9%
n_episode : 155, Total Frames : 202398, Average Score : -19.3, Episode Score : -16.0, Best Score : -9.0, n_buffer : 100000, eps : 14.4%
n_episode : 156, Total Frames : 206461, Average Score : -19.2, Episode Score : -11.0, Best Score : -9.0, n_buffer : 100000, eps : 14.1%
n_episode : 157, Total Frames : 209362, Average Score : -19.2, Episode Score : -16.0, Best Score : -9.0, n_buffer : 100000, eps : 13.6%
n_episode : 158, Total Frames : 213032, Average Score : -19.2, Episode Score : -9.0, Best Score : -9.0, n_buffer : 100000, eps : 13.2%
n_episode : 159, Total Frames : 216404, Average Score : -19.1, Episode Score : -16.0, Best Score : -9.0, n_buffer : 100000, eps : 12.8%
n_episode : 160, Total Frames : 220538, Average Score : -19.1, Episode Score : -12.0, Best Score : -9.0, n_buffer : 100000, eps : 12.4%
n_episode : 161, Total Frames : 224333, Average Score : -19.1, Episode Score : -14.0, Best Score : -9.0, n_buffer : 100000, eps : 11.9%
n_episode : 162, Total Frames : 228992, Average Score : -19.0, Episode Score : -5.0, Best Score : -5.0, n_buffer : 100000, eps : 11.5%
n_episode : 163, Total Frames : 232850, Average Score : -18.9, Episode Score : -14.0, Best Score : -5.0, n_buffer : 100000, eps : 11.0%
n_episode : 164, Total Frames : 237122, Average Score : -18.9, Episode Score : -9.0, Best Score : -5.0, n_buffer : 100000, eps : 10.6%
n_episode : 165, Total Frames : 240319, Average Score : -18.9, Episode Score : -16.0, Best Score : -5.0, n_buffer : 100000, eps : 10.2%
n_episode : 166, Total Frames : 244504, Average Score : -18.8, Episode Score : -8.0, Best Score : -5.0, n_buffer : 100000, eps : 10.0%
n_episode : 167, Total Frames : 248160, Average Score : -18.7, Episode Score : -11.0, Best Score : -5.0, n_buffer : 100000, eps : 9.6%
n_episode : 168, Total Frames : 251153, Average Score : -18.7, Episode Score : -10.0, Best Score : -5.0, n_buffer : 100000, eps : 9.3%
n_episode : 169, Total Frames : 253782, Average Score : -18.7, Episode Score : -19.0, Best Score : -5.0, n_buffer : 100000, eps : 9.0%
n_episode : 170, Total Frames : 257188, Average Score : -18.7, Episode Score : -14.0, Best Score : -5.0, n_buffer : 100000, eps : 8.8%
n_episode : 171, Total Frames : 260324, Average Score : -18.7, Episode Score : -17.0, Best Score : -5.0, n_buffer : 100000, eps : 8.6%
n_episode : 172, Total Frames : 263380, Average Score : -18.7, Episode Score : -17.0, Best Score : -5.0, n_buffer : 100000, eps : 8.3%
n_episode : 173, Total Frames : 266189, Average Score : -18.6, Episode Score : -10.0, Best Score : -5.0, n_buffer : 100000, eps : 8.1%
n_episode : 174, Total Frames : 268480, Average Score : -18.6, Episode Score : -15.0, Best Score : -5.0, n_buffer : 100000, eps : 7.9%
n_episode : 175, Total Frames : 274404, Average Score : -18.5, Episode Score : -10.0, Best Score : -5.0, n_buffer : 100000, eps : 7.8%
n_episode : 176, Total Frames : 277571, Average Score : -18.5, Episode Score : -14.0, Best Score : -5.0, n_buffer : 100000, eps : 7.4%
n_episode : 177, Total Frames : 280751, Average Score : -18.5, Episode Score : -11.0, Best Score : -5.0, n_buffer : 100000, eps : 7.2%
n_episode : 178, Total Frames : 284515, Average Score : -18.4, Episode Score : -11.0, Best Score : -5.0, n_buffer : 100000, eps : 7.0%
n_episode : 179, Total Frames : 287686, Average Score : -18.4, Episode Score : -12.0, Best Score : -5.0, n_buffer : 100000, eps : 6.8%
n_episode : 180, Total Frames : 291152, Average Score : -18.4, Episode Score : -12.0, Best Score : -5.0, n_buffer : 100000, eps : 6.6%
n_episode : 181, Total Frames : 293916, Average Score : -18.3, Episode Score : -16.0, Best Score : -5.0, n_buffer : 100000, eps : 6.4%
n_episode : 182, Total Frames : 295982, Average Score : -18.3, Episode Score : -17.0, Best Score : -5.0, n_buffer : 100000, eps : 6.2%
n_episode : 183, Total Frames : 299878, Average Score : -18.2, Episode Score : -3.0, Best Score : -3.0, n_buffer : 100000, eps : 6.1%
n_episode : 184, Total Frames : 303458, Average Score : -18.2, Episode Score : -8.0, Best Score : -3.0, n_buffer : 100000, eps : 5.9%
n_episode : 185, Total Frames : 305791, Average Score : -18.2, Episode Score : -14.0, Best Score : -3.0, n_buffer : 100000, eps : 5.8%
n_episode : 186, Total Frames : 307652, Average Score : -18.2, Episode Score : -17.0, Best Score : -3.0, n_buffer : 100000, eps : 5.7%
n_episode : 187, Total Frames : 310456, Average Score : -18.1, Episode Score : -15.0, Best Score : -3.0, n_buffer : 100000, eps : 5.6%
n_episode : 188, Total Frames : 312039, Average Score : -18.2, Episode Score : -20.0, Best Score : -3.0, n_buffer : 100000, eps : 5.4%
n_episode : 189, Total Frames : 314377, Average Score : -18.1, Episode Score : -17.0, Best Score : -3.0, n_buffer : 100000, eps : 5.4%
n_episode : 190, Total Frames : 316840, Average Score : -18.1, Episode Score : -17.0, Best Score : -3.0, n_buffer : 100000, eps : 5.3%
n_episode : 191, Total Frames : 321058, Average Score : -18.0, Episode Score : 2.0, Best Score : 2.0, n_buffer : 100000, eps : 5.2%
n_episode : 192, Total Frames : 324369, Average Score : -18.0, Episode Score : -9.0, Best Score : 2.0, n_buffer : 100000, eps : 5.0%
n_episode : 193, Total Frames : 328220, Average Score : -17.9, Episode Score : -5.0, Best Score : 2.0, n_buffer : 100000, eps : 4.9%
n_episode : 194, Total Frames : 331261, Average Score : -17.9, Episode Score : -8.0, Best Score : 2.0, n_buffer : 100000, eps : 4.7%
n_episode : 195, Total Frames : 335107, Average Score : -17.8, Episode Score : -8.0, Best Score : 2.0, n_buffer : 100000, eps : 4.6%
n_episode : 196, Total Frames : 338800, Average Score : -17.8, Episode Score : -10.0, Best Score : 2.0, n_buffer : 100000, eps : 4.5%
n_episode : 197, Total Frames : 341574, Average Score : -17.8, Episode Score : -16.0, Best Score : 2.0, n_buffer : 100000, eps : 4.3%
n_episode : 198, Total Frames : 344603, Average Score : -17.8, Episode Score : -14.0, Best Score : 2.0, n_buffer : 100000, eps : 4.3%
n_episode : 199, Total Frames : 348343, Average Score : -17.7, Episode Score : -6.0, Best Score : 2.0, n_buffer : 100000, eps : 4.2%
n_episode : 200, Total Frames : 351773, Average Score : -17.7, Episode Score : -11.0, Best Score : 2.0, n_buffer : 100000, eps : 4.0%
n_episode : 201, Total Frames : 354648, Average Score : -17.6, Episode Score : -9.0, Best Score : 2.0, n_buffer : 100000, eps : 3.9%
n_episode : 202, Total Frames : 357249, Average Score : -17.6, Episode Score : -13.0, Best Score : 2.0, n_buffer : 100000, eps : 3.9%
n_episode : 203, Total Frames : 359628, Average Score : -17.6, Episode Score : -9.0, Best Score : 2.0, n_buffer : 100000, eps : 3.8%
n_episode : 204, Total Frames : 362925, Average Score : -17.5, Episode Score : -11.0, Best Score : 2.0, n_buffer : 100000, eps : 3.7%
n_episode : 205, Total Frames : 366559, Average Score : -17.4, Episode Score : 1.0, Best Score : 2.0, n_buffer : 100000, eps : 3.6%
